model,precision@5,recall@5,map@5,ndcg@5,hit_rate@5,precision@10,recall@10,map@10,ndcg@10,hit_rate@10,precision@20,recall@20,map@20,ndcg@20,hit_rate@20,catalog_coverage,unique_items_recommended,total_items,intra_list_diversity,users_evaluated
Popularity,0.019600000000000003,0.025333333333333333,0.010683333333333333,0.053208720246645524,0.095,0.018200000000000004,0.046592857142857144,0.013710231481481481,0.0775952502327114,0.172,0.0197,0.09739523809523809,0.0180172952074442,0.11762636480632363,0.332,0.1,20,200,1.0,100
Content-Based,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,200,0.0,0
